window_index,start_ps,end_ps,toggled_bits,toggle_events
15469,1237520000,1237600000,17613,3305
15470,1237600000,1237680000,20859,4005
15471,1237680000,1237760000,18114,3590
15472,1237760000,1237840000,15208,3022
15473,1237840000,1237920000,18346,3437
15474,1237920000,1238000000,22932,4107
15475,1238000000,1238080000,16847,3573
15476,1238080000,1238160000,13393,2584
15477,1238160000,1238240000,19687,3775
15478,1238240000,1238320000,21762,4155
15479,1238320000,1238400000,17249,3559
15480,1238400000,1238480000,12561,2364
15481,1238480000,1238560000,21505,3982
15482,1238560000,1238640000,23907,4301
15483,1238640000,1238720000,16452,3483
15484,1238720000,1238800000,12210,2294
15485,1238800000,1238880000,20703,3971
15486,1238880000,1238960000,22837,4228
15487,1238960000,1239040000,16144,3361
15488,1239040000,1239120000,13249,2485
15489,1239120000,1239200000,22605,3999
15490,1239200000,1239280000,20700,3880
15491,1239280000,1239360000,16425,3443
15492,1239360000,1239440000,13888,2733
15493,1239440000,1239520000,20400,3989
15494,1239520000,1239600000,19039,3620
15495,1239600000,1239680000,16036,3364
15496,1239680000,1239760000,16582,3081
15497,1239760000,1239840000,22722,4006
15498,1239840000,1239920000,18008,3617
15499,1239920000,1240000000,15559,3129
15500,1240000000,1240080000,17652,3305
15501,1240080000,1240160000,21047,4006
15502,1240160000,1240240000,17886,3593
15503,1240240000,1240320000,15008,3022
15504,1240320000,1240400000,17613,3437
15505,1240400000,1240480000,22350,4108
15506,1240480000,1240560000,16269,3568
15507,1240560000,1240640000,12858,2584
15508,1240640000,1240720000,18913,3776
15509,1240720000,1240800000,21812,4149
15510,1240800000,1240880000,17040,3556
15511,1240880000,1240960000,12640,2364
15512,1240960000,1241040000,21438,3981
15513,1241040000,1241120000,23846,4313
15514,1241120000,1241200000,16399,3482
15515,1241200000,1241280000,12179,2294
15516,1241280000,1241360000,19895,3973
15517,1241360000,1241440000,22385,4224
15518,1241440000,1241520000,15944,3361
15519,1241520000,1241600000,12548,2485
15520,1241600000,1241680000,21965,4002
15521,1241680000,1241760000,20490,3885
15522,1241760000,1241840000,16120,3443
15523,1241840000,1241920000,13949,2733
15524,1241920000,1242000000,19790,3992
15525,1242000000,1242080000,19083,3621
15526,1242080000,1242160000,15963,3364
15527,1242160000,1242240000,16110,3081
15528,1242240000,1242320000,22505,4007
15529,1242320000,1242400000,17908,3610
15530,1242400000,1242480000,15600,3129
15531,1242480000,1242560000,17379,3305
15532,1242560000,1242640000,20488,4011
15533,1242640000,1242720000,17877,3590
15534,1242720000,1242800000,15005,3022
15535,1242800000,1242880000,18097,3437
15536,1242880000,1242960000,22960,4107
15537,1242960000,1243040000,16823,3573
15538,1243040000,1243120000,12988,2584
15539,1243120000,1243200000,19159,3775
15540,1243200000,1243280000,21728,4155
15541,1243280000,1243360000,17028,3559
15542,1243360000,1243440000,12686,2364
15543,1243440000,1243520000,21517,3982
15544,1243520000,1243600000,23770,4301
15545,1243600000,1243680000,16472,3483
15546,1243680000,1243760000,12490,2294
15547,1243760000,1243840000,20394,3971
15548,1243840000,1243920000,22513,4222
15549,1243920000,1244000000,16098,3361
15550,1244000000,1244080000,12855,2485
15551,1244080000,1244160000,21900,3999
15552,1244160000,1244240000,20277,3880
15553,1244240000,1244320000,16021,3443
15554,1244320000,1244400000,13848,2733
15555,1244400000,1244480000,20870,3992
15556,1244480000,1244560000,19111,3623
15557,1244560000,1244640000,15809,3364
15558,1244640000,1244720000,16338,3081
15559,1244720000,1244800000,22425,4006
15560,1244800000,1244880000,18318,3617
15561,1244880000,1244960000,15403,3129
15562,1244960000,1245040000,17177,3305
15563,1245040000,1245120000,21072,4006
15564,1245120000,1245200000,18262,3593
15565,1245200000,1245280000,14825,3022
15566,1245280000,1245360000,17929,3437
