window_index,start_ps,end_ps,toggled_bits,toggle_events
9253,740240000,740320000,12539,2413
9254,740320000,740400000,21292,4058
9255,740400000,740480000,23287,4278
9256,740480000,740560000,15885,3405
9257,740560000,740640000,13621,2604
9258,740640000,740720000,22452,4089
9259,740720000,740800000,19869,3940
9260,740800000,740880000,16276,3517
9261,740880000,740960000,13916,2829
9262,740960000,741040000,21205,4087
9263,741040000,741120000,19752,3661
9264,741120000,741200000,15849,3438
9265,741200000,741280000,16894,3178
9266,741280000,741360000,22979,4096
9267,741360000,741440000,18200,3656
9268,741440000,741520000,15750,3207
9269,741520000,741600000,18132,3400
9270,741600000,741680000,22378,4105
9271,741680000,741760000,17984,3633
9272,741760000,741840000,15409,3108
9273,741840000,741920000,18878,3532
9274,741920000,742000000,22214,4200
9275,742000000,742080000,17136,3624
9276,742080000,742160000,13509,2694
9277,742160000,742240000,20403,3863
9278,742240000,742320000,22591,4226
9279,742320000,742400000,17081,3603
9280,742400000,742480000,13279,2483
9281,742480000,742560000,22111,4077
9282,742560000,742640000,24176,4370
9283,742640000,742720000,16405,3524
9284,742720000,742800000,12960,2413
9285,742800000,742880000,21137,4061
9286,742880000,742960000,23250,4283
9287,742960000,743040000,15782,3405
9288,743040000,743120000,13482,2604
9289,743120000,743200000,22801,4094
9290,743200000,743280000,20680,3933
9291,743280000,743360000,16128,3517
9292,743360000,743440000,14167,2829
9293,743440000,743520000,21868,4084
9294,743520000,743600000,20200,3672
9295,743600000,743680000,15788,3438
9296,743680000,743760000,16488,3178
9297,743760000,743840000,22970,4101
9298,743840000,743920000,18299,3663
9299,743920000,744000000,15404,3207
9300,744000000,744080000,17731,3400
9301,744080000,744160000,22865,4111
9302,744160000,744240000,17724,3641
9303,744240000,744320000,15154,3108
9304,744320000,744400000,18735,3532
9305,744400000,744480000,22842,4201
9306,744480000,744560000,16489,3613
9307,744560000,744640000,13486,2694
9308,744640000,744720000,20301,3864
9309,744720000,744800000,23549,4226
9310,744800000,744880000,17229,3600
9311,744880000,744960000,13223,2483
9312,744960000,745040000,22214,4070
9313,745040000,745120000,23518,4370
9314,745120000,745200000,16531,3525
9315,745200000,745280000,13029,2413
9316,745280000,745360000,21701,4058
9317,745360000,745440000,23629,4278
9318,745440000,745520000,16004,3405
9319,745520000,745600000,13435,2604
9320,745600000,745680000,22964,4089
